"abs-size href","w-full src","styles_productCard__name__pakbB","text-sm-2","font-normal","h-full href","w-full src 2","styles_skeletonLoading__7svpE 2","w-full src 3"
"https://mahally.com/products/1891860617/1665852678/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=248&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/183fafcc-fb23-4c96-893b-501babfd1df3-500x500-DdESRXsty0ZQCE88qRvjkR6gdeGknxzl0m8awtoi.jpg","زيرجوف فيا كافور I برفيوم 50مل","862",".5","https://mahally.com/products/1891860617/1665852678/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=248&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/dc75616b-81d2-437b-ac60-b0e16d47c347-1000x1000-IysnU7dqr6x18EMXEfNS23akdD9zYy4PgtnzzQBC.jpg","‌","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/179bff64-f122-4563-8942-00d364c48f15-1000x1000-dkYvxTr1GTgEZOS8rfBwLWNpTGrGGuqkhv2K79MM.jpg"
"https://mahally.com/products/1891860617/1661598624/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=249&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/ac25fb77-7359-4362-a18a-2f31cb094287-500x500-W3imci6icmCycMhLaliDeEoINXhwT6YLYUAXBubq.jpg","عطر جيمي شو اي وانت شو وت لوف او دو بارفيوم للنساء 100مل","356",".5","","","",""
"https://mahally.com/products/1891860617/1538595233/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=250&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/9e479d90-dd70-49bc-b974-753fa832af0a-500x500-XlgoO7T0h1FFwKgW7f7gnK2VuFn2YGdwR79gLyq3.jpg","روبرتو كافالي أومو فيردي أبسولوتوعطور رجالية 100مل","264",".5","https://mahally.com/products/1891860617/1538595233/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=250&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/c550cb29-f9d7-408b-abcc-efb46c265d01-1000x1000-OyNdWPPwX414INr0VUIHUQCBqf61V4YpZ964HzLU.jpg","‌","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/f53decba-0ed3-40fa-9ed2-d39461ba5573-768.75x1000-tMSgGYQ5hXkOpeEpY8VSMYEp1A39l55PzBM64vSn.jpg"
"https://mahally.com/products/1891860617/1354120486/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=251&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/185b1e2a-e74a-4909-9889-97ab61234028-500x500-nVVpa5YdJ8xZ8J9B1P1pQdm69RbztRTzt1qDGZrN.jpg","روبرتو كافالي سيغنيتشر فيردي أبسولوتوعطور نسائية 75مل","264",".5","https://mahally.com/products/1891860617/1354120486/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=251&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/67b4dbe3-f7a8-4cbe-8c6b-cdaf9a100968-1000x1000-bTvaA5vHJ6EJaXvhV3Hd9y9WAthxvUinFMEQSyzt.jpg","‌","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/9144c388-0513-4002-9c0d-04f3908be828-781.25x1000-Q9SSHaHVRigGqafnC2LEfs2y1QVXmTq85aHr94tw.jpg"
"https://mahally.com/products/1891860617/265600590/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=252&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/724d9b5d-60ba-4609-98de-03cf61eb6c67-500x500-AAepoRC35KAtll7ciq3HMRAU1Wkf53X0LAUDGOHf.jpg","عطر كوستو برشلونة الزهري تواليت 50مل","258",".75","","","",""
"https://mahally.com/products/1891860617/505512855/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=253&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/f29aa938-c7f7-4c10-9fda-1093e9c8a42f-500x500-PJ3Cv1xWVhIf7jfWH8XqmOhl0K6j1KrKNMYOPACn.jpg","عطر كوستو برشلونة مان او دي تواليت100مل","216",".2","","","",""
"https://mahally.com/products/1891860617/142230602/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=254&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/149e902b-6447-4b91-a04a-bbed51111e55-500x500-EYlyCNZFNL0K0dSXg0ypvOyMQpNB1IjuwOJZUmBc.jpg","عطر افنان 9بي ان 9PM NIGHT OUT","189",".75","https://mahally.com/products/1891860617/142230602/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=254&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/ce593c2d-6d61-4fb8-a30e-307b0678b321-1000x1000-buBa2Cxz8HadNi0DV1ayrBa8v27nAOMGlgSPKxvj.jpg","‌","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/2794363f-12d6-4168-8497-c68b86286ca2-1000x1000-bBDoJUWPYn0zhvqTSvCI7u9g3tM0huv0i2HQSkgx.jpg"
"https://mahally.com/products/1891860617/579468230/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=255&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/df72539b-39c8-4902-99c0-45b01f3be0cc-500x500-MMBCfkDir0JwWQya7UfXHOGfeGWxR7avXpNJ9KZ7.jpg","عطر ارموند جين مون توباكو ريو- 88 مل","1058","","","","",""
"https://mahally.com/products/1891860617/710084419/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=256&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/a62a9db2-e55e-4b47-ac06-1d35ee4a5748-500x500-qqXSudrwVQnZwN47txJail3XEy69FFYC1oXtLD92.jpg","عطر ارموند جين فيرانو او دي بارفيوم -88 مل","862",".5","","","",""
"https://mahally.com/products/1891860617/1272980021/?queryID=4a1a671ff1bd639a4b57dd4c51d14c26&position=257&index=products_v2_created_at_desc","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/WEYON/e8d66bff-738f-4fec-a18e-d407842ec541-500x500-OsiiRPqdrvYJxO0r7fpIS8WHXyb9NXqII51t9HDo.jpg","عطر مس قريس عساف","172",".5","","","",""
